## 泌尿系统疾病

206. A 69-year-old male presents with urinary frequency, nocturia, dribbling, and difficulty in starting and stopping urination. Rectal examination reveals the prostate is enlarged, firm, and rubbery. A needle biopsy reveals increased numbers of glandular elements and stromal tissue. The glands are found to have a double layer of epithelial cells. Prominent nuclei and back-to-back glands are not seen. Which of the following is the most likely diagnosis?
A. Granulomatous prostatitis
B. Chronic bacterial prostatitis
C. Acute prostatitis
D. Prostatic adenocarcinoma
E. Benign prostatic hyperplasia
【参考答案】 E

207. A 49-year-old male presents with a sudden onset of fever, chills, and dysuria. During review of symptoms you discover that he has no history of recurrent urinary tract infections. Upon rectal examination, the prostate gland is very sensitive and examination is painful. Which of the following is the most likely diagnosis?
A. Chronic non-bacterial prostatitis
B. Chronic bacterial prostatitis
C. Acute prostatitis
D. Benign prostatic hyperplasia
E. Granulomatous prostatitis
【参考答案】 C

208. A 5-year-old boy presents with bilateral swelling around his eyes which has been present over the past several weeks, and his urine has become cocoa-colored. The boy is afebrile and his blood pressure is slightly elevated. A urinary dipstick reveals mild proteinuria, while microscopic examination of the boy's urine reveals hematuria with red blood cell casts. Laboratory tests reveal increased ASO titers. A throat swab for streptococcus is negative. A microscopic section from the kidney reveals increased numbers of cells within the glomeruli. An electron microscopic section of the kidney reveals large electron-dense deposits in the glomeruli that are located between the basement membrane and the podocytes. The foot processes of the podocytes are otherwise unremarkable. Which one of the following renal diseases most likely produced these abnormalities in this young boy?
A. Acute post-streptococcal glomerulonephritis
B. Focal segmental glomerulonephritis
C. Minimal change disease
D. Membranous glomerulonephritis
E. Focal segmental glomerulosclerosis
【参考答案】 A

209. A 37-year-old female recovering from hepatitis B develops hematuria, proteinuria, and red cell casts in the urine. Which of the following would best describe the changes within the kidney in this patient?
A. Diffuse thickening of the glomerular basement membrane by subepithelial immune deposits
B. IgG linear fluorescence along the glomerular basement membrane
C. Nodular hyaline glomerulosclerosis
D. Plasma cell interstitial nephritis
E. Granular deposits of antibodies in the glomerular basement membrane
【参考答案】 E

210. The gross appearance of the kidney shown below is most compatible with which of the following conditions?
![题目配图](https://quiz.huh.moe/data/bl/images/8-chap8-2.jpg)
A. Chronic glomerulonephritis
B. Acute glomerulonephritis
C. Chronic pyelonephritis
D. Acute pyelonephritis
E. Cystic renal dysplasia
【参考答案】 C

211. Histologic sections of a kidney reveal patchy necrosis of epithelial cells of both the proximal and distal tubules with flattening of the epithelial cells, rupture of the basement membrane (tubulorrhexis), and marked interstitial edema. Acute inflammatory cells are not seen. Which of the following is the most likely diagnosis?
![题目配图](https://quiz.huh.moe/data/bl/images/8-chap8-2.jpg)
A. Acute pyelonephritis
B. Acute tubular necrosis
C. Chronic pyelonephritis
D. Chronic glomerulonephritis
E. Diffuse cortical necrosis
【参考答案】 B

212. An 8-year-old girl develops a severe sore throat, which resolves after a few days. 10 days later, her mother notices dark stains on the child's underwear, and takes her to the pediatrician. A urine sample is smoky in color, and red cell casts are noted in the urinary sediment. If a renal biopsy were obtained from this child it would probably show
A. Linear deposition of IgG
B. Fusion of podocyte foot processes
C. Dense deposits
D. Mesangial IgA deposits
E. Subepithelial humps
【参考答案】 E

213. A 2-year-old boy has an abdominal mass and undergoes diagnostic biopsy. The tumor reveals a variety of cellular patterns including dense immature islands of epithelial cells, ribbons of spindled fibroblast-like stromal cells, and poorly formed tubular structures. This triphasic histology is most suggestive of which of the following childhood neoplasms?
A. Embryonal rhabdomyosarcoma
B. Wilms' tumor
C. Neuroblastoma
D. Hodgkin's disease
E. Ewing's sarcoma
【参考答案】 B

214. Renal biopsy demonstrates concentric, laminated thickening of arteriolar walls due to proliferation of smooth muscle cells. This process is best described by which of the following terms?
A. Polyarteritis nodosa
B. Mönckeberg's arteriosclerosis
C. Hyperplastic arteriolosclerosis
D. Hyaline arteriolosclerosis
E. Atherosclerosis
【参考答案】 C

215. A 3 year-old child develops a large erythematous rash around the site of a mosquito bite. One month later, she is taken to a pediatrician because she has a puffy face and swollen ankles. The scanty urine sample has a reddish-brown hue, and contains both red blood cells and protein. Which of the following distinctive features would be most likely to be seen on renal biopsy?
A. Linear IgG deposits
B. Subepithelial electron dense humps
C. Fusion of podocyte foot processes
D. Onion-skinning of renal arterioles
E. IgA in the mesangium
【参考答案】 B

216. A 60-year-old man develops peripheral edema over a period of weeks. Urinalysis reveals hematuria and proteinuria; examination of the urinary sediment reveals red cell casts. Radiologic and ultrasound studies fail to demonstrate an obstructive lesion. Renal biopsy shows many glomerular crescents. This presentation is most suggestive of which of the following conditions?
A. Anti-glomerular basement membrane disease
B. Hypertensive nephropathy
C. Diabetic nephropathy
D. Minimal change disease
E. Lupus nephritis
【参考答案】 A

217. A 3-year-old girl is brought to the clinic by her parents who are very concerned about her. Physical examination is remarkable for extremity edema. Urinalysis shows significant proteinuria, but no red cells or casts. Electron microscopy performed on a kidney biopsy would be most likely to show which of the following findings?
A. Subepithelial spikes
B. Subendothelial deposits
C. Mesangial deposits
D. Fusion of epithelial foot processes
E. Dense deposits
【参考答案】 D

218. A pediatrician discovers a large mass in the abdomen of a 2-year-old child. Ultrasound examination demonstrates that the mass appears to arise from the right kidney. Which of the following tumors is most likely present?
A. Renal cell carcinoma
B. Oncocytoma
C. Nephroblastoma
D. Hemangioma
E. Cortical adenoma
【参考答案】 C

219. A 60-year-old man develops low back pain, and radiologic investigation reveals multiple osteoblastic lesions of the lumbar vertebrae. A hard, irregular nodule on the posterior surface of the prostate is found on rectal examination. Plasma levels of prostatic specific antigen (PSA) are markedly increased. Which of the following is the most likely diagnosis?
A. Prostatic hyperplasia
B. Multiple myeloma
C. Prostatic intraepithelial neoplasia (PIN)
D. Chronic prostatitis
E. Prostatic adenocarcinoma
【参考答案】 E

220. A concerned couple bring their 1.5-year-old boy with gonadal dysgenesis to a clinic for a follow-up visit. The physician notices a large abdominal mass during his physical examination. Which of the following disorders does the patient most likely have?
A. Renal hamartoma
B. Renal cell carcinoma
C. Squamous cell carcinoma of the bladder
D. Wilms' tumor
E. Transitional cell carcinoma of the bladder
【参考答案】 D

221. A 3-year-old child has a large abdominal mass. CT studies show that the mass arises in the kidney. Which of the following is most likely a distinctive feature of this lesion?
A. Hamartomatous blood vessels
B. Embryonic glomerular structures
C. Eosinophilic cells packed with mitochondria
D. Abundant clear cells
E. Necrotic bacterial forms in macrophages
【参考答案】 B

222. A 5-year-old boy has developed a "puffy face." On examination, the child has marked periorbital edema, and pitting edema of both the hands and feet. His cardiac examination is unremarkable and he has no splenomegaly or signs of liver disease. Laboratory values are notable for decreased serum albumin and increased total cholesterol. A urinalysis reveals 4+ proteinuria but no red blood cells, white blood cells, or casts. The most likely cause of this child's disease is
A. Wegener's granulomatosis
B. Systemic lupus erythematosus
C. Poststreptococcal glomerulonephritis
D. Minimal change nephropathy
E. Goodpasture's syndrome
【参考答案】 D

223. A 60-year-old man develops increased frequency of urination, nocturia, dysuria, and difficulty starting and stopping the flow of urine. Serum prostate-specific antigen (PSA) is within normal limits, and prostate biopsy demonstrates benign tissue. In which of the following sites is this patient's lesion most likely located?
A. Periurethral prostate
B. Penile urethra
C. Bladder neck
D. Posterior prostate
E. Ureters
【参考答案】 A

224. A pathologist examining electron micrographs of glomeruli sees prominent deposits between the podocytes and the basement membrane of the glomerular capillaries. These findings are most likely related to prior infection with which of the following bacteria?
A. Neisseria
B. Pseudomonas
C. Escherichia
D. Klebsiella
E. Streptococcus
【参考答案】 D

225. A 58-year-old woman is noted to have a ruddy complexion. Her hematocrit is 52%. Her lungs are clear and she does not smoke. Serum erythropoietin levels are elevated. Cancer of which of the following organs is most likely the cause of her increased hematocrit?
A. Breast
B. Kidney
C. Colon
D. Thyroid
E. Stomach
【参考答案】 B

226. The main histopathologic feature of membranous glomerulonephritis is:
A. Glomerular mesangial cell and endothelial proliferation
B. Diffuse thickening of the GBM with spikes
C. Glomerular mesangial cell proliferation with GBM thickening
D. Glomerular focal sclerosis
E. Loss of the podocyte foot processes
【参考答案】 B

227. Which of the following is the characteristic feature of diffuse endocapillary proliferative glomerulonephritis by electron microscopy?
A. Electron-dense subendothelial deposits
B. Electron-dense subepithelial hump deposits
C. GBM damaged seriously
D. Diffuse fusion and loss of the podocyte foot processes
E. Diffuse thickening of the GBM with spikes
【参考答案】 B

228. The glomerulonephritis which is curable in the majority of cases is:
A. Acute diffuse endocapillary proliferative glomerulonephritis
B. Membranoproliferative glomerulonephritis
C. Crescentic glomerulonephritis
D. Membranous glomerulonephritis
E. Chronic pyelonephritis
【参考答案】 A

229. Which of the following is NOT true concerning glomerulonephritis?
A. Is caused directly by bacterial infection
B. Is caused by immune complexes in situ
C. Is caused by implanted antigen
D. Is caused by intrinsic antigen
E. Is caused directly by fungus infection
【参考答案】 A

230. Which of the following is NOT associated with diffuse endocapillary proliferative glomerulonephritis?
A. Diffuse involvement of bilateral kidneys
B. Electron-dense subepithelial hump deposits
C. Poststreptococcal infection
D. Very poor prognosis
E. Type III hypersensitivity reactions
【参考答案】 D

231. Which of the following is characteristic of mesangial proliferative glomerulonephritis?
A. Electron-dense deposits in the mesangium and subendothelium
B. Electron-dense deposits in the mesangium
C. Electron-dense subepithelial humps and intramembranous deposits
D. Electron-dense subepithelial deposits and spikelike protrusions of GBM matrix
E. Electron-dense deposits in the subendothelium
【参考答案】 B

232. Which of the following is characteristic of membranoproliferative glomerulonephritis?
A. Electron-dense deposits in the mesangium and subendothelium
B. Electron-dense deposits in the mesangium
C. Electron-dense subepithelial humps and intramembranous deposits
D. Electron-dense subepithelial deposits and spikelike protrusions of GBM matrix
E. Electron-dense deposits in the subendothelium
【参考答案】 A

233. Which of the following is characteristic of diffuse endocapillary proliferative glomerulonephritis?
A. Electron-dense deposits in the mesangium and subendothelium
B. Electron-dense deposits in the mesangium
C. Electron-dense subepithelial humps and intramembranous deposits
D. Electron-dense subepithelial deposits and spikelike protrusions of GBM matrix
E. Electron-dense deposits in the subendothelium
【参考答案】 C

234. Which of the following is characteristic of membranous glomerulonephritis?
A. Electron-dense deposits in the mesangium and subendothelium
B. Electron-dense deposits in the mesangium
C. Electron-dense subepithelial humps and intramembranous deposits
D. Electron-dense subepithelial deposits and spikelike protrusions of GBM matrix
E. Mesangial deposition of IgA
【参考答案】 D

235. Glomerulonephritis is:
A. Type II hypersensitivity reaction
B. Type II and type III hypersensitivity reaction
C. Type IV hypersensitivity reaction
D. Type III hypersensitivity reaction
E. Type I hypersensitivity reactions
【参考答案】 D

236. The most common cause of acute renal failure is:
A. Diffuse crescentic glomerulonephritis
B. Diffuse mesangial proliferative glomerulonephritis
C. Membranous glomerulonephritis
D. Focal glomerulonephritis
E. Minimal change disease
【参考答案】 A

237. The cells in crescents of crescentic glomerulonephritis include:
A. Parietal epithelial cells of the renal glomerulus
B. Parietal epithelial cells of the renal glomerulus and monocytes
C. Visceral epithelial cells of the renal glomerulus and monocytes
D. Mesangial cells of the glomerulus
E. Monocytes
【参考答案】 B

238. Which of the following is a key feature of membranous nephropathy by light microscopy?
A. Diffuse thickening of the GBM
B. Endothelial proliferation
C. Thickening of the GBM and proliferation of mesangial cells and matrix
D. Diffuse fusion and loss of the podocyte foot processes
E. Podocytes proliferation
【参考答案】 A

239. The proliferative element(s) in diffuse membranoproliferative glomerulonephritis is/are:
A. Visceral epithelial cells of the renal glomerulus
B. Parietal epithelial cells of the renal glomeruli
C. Mesangial cells and endothelium
D. Mesangial cells and matrix
E. Podocytes
【参考答案】 D

240. IgA belongs to which of the following?
A. Endocapillary proliferative glomerulonephritis
B. Secondary glomerulonephritis
C. Diffuse mesangial proliferative glomerulonephritis
D. Diffuse membranoproliferative glomerulonephritis
E. Primary glomerulonephritis
【参考答案】 B

241. Which of the following is most characteristic of IgA nephropathy?
A. Glomerular basement membrane(GBM) deposition of C3
B. Mesangial deposition of IgG and C3
C. Mesangial deposition of IgA
D. GBM and mesangial deposition of IgG and C3
E. Mesangial deposition of IgM
【参考答案】 C

242. Which of the following symptoms is most characteristic of focal segmental glomerulosclerosis?
A. Acute nephritic syndrome
B. Nephrotic syndrome
C. Chronic nephritic syndrome
D. Asymptomatic nephritic syndrome
E. Rapidly progressive nephritic syndrome
【参考答案】 B

243. Which of the following types of glomerulonephritis is NOT associated with immune complexes?
A. Crescentic glomerulonephritis
B. Membranous glomerulopathy
C. Minimal change disease
D. Endocapillary proliferation glomerulonephritis
E. IgA nephropathy
【参考答案】 C

244. Which of the following is NOT generally a feature of mesangial proliferation glomerulonephritis?
A. Glomerular focal sclerosis
B. Increased mesangial matrix
C. Immunofluorescence positive deposition of IgG and C3 in mesangial regions
D. Deposition of electron-dense material in mesangial regions
E. Focal fusion of the foot processes of the podocytes
【参考答案】 A

245. The basic lesion of acute pyelonephritis is:
A. Suppurative inflammation
B. Fibrinous inflammation
C. Hemorrhagic inflammation
D. Serous inflammation
E. Granulomatous inflammation
【参考答案】 A

246. pyelonephritis primarily involves:
A. Renal tubules, renal interstitium and renal pelvis
B. Renal tubules
C. Renal pelvis
D. Glomeruli
E. Renal interstitium
【参考答案】 E

247. Acute pyelonephritis caused by ascending infection first involves:
A. Mucosal surfaces of the renal pelvis
B. Renal tubules
C. Collecting ducts
D. Renal papillae
E. Renal glomeruli
【参考答案】 A

248. The most common type of kidney tumor found in children is:
A. Angiomyolipoma
B. Papilloma of renal pelvis
C. Nephroblastoma
D. Renal cell carcinoma
E. Transitional cell carcinoma
【参考答案】 C

249. The most common histopathologic type of bladder carcinoma is:
A. Squamous cell carcinoma
B. Adenocarcinoma
C. Transitional cell carcinoma
D. Undifferentiated carcinoma
E. Small cell carcinoma
【参考答案】 C

250. Nephroblastoma is derived from:
A. Transitional cells
B. Renal tubule
C. Primitive renal tissue
D. Parietal cells of renal glomeruli
E. Squamous epithelium
【参考答案】 C

251. Nephroblastoma is:
A. Wilm's tumor
B. Ewing tumor
C. Borderline tumor
D. Krukenberg tumor
E. PNET
【参考答案】 A

252. Renal cell carcinoma is derived from:
A. Renal tubular epithelium
B. Squamous epithelium
C. Renal collecting duct epithelium
D. Parietal cells of renal glomeruli
E. Transitional epithelium
【参考答案】 A

253. The most common histopathologic type of renal cell carcinoma is:
A. Papillary renal cell carcinoma
B. Clear cell renal cell carcinoma
C. Chromophobe renal cell carcinoma
D. Collecting duct carcinoma
E. Undifferential carcinoma
【参考答案】 B

254. The most common type of kidney tumor is:
A. Angiomyolipoma
B. Papilloma of renal pelvis
C. Nephroblastoma
D. Renal cell carcinoma
E. Transitional cell carcinoma
【参考答案】 D

255. Which of the following genes is associated with renal cell carcinoma?
A. RB gene
B. APC gene
C. WT-1 gene
D. VHL gene
E. BRCA gene
【参考答案】 D

256. The most common location of transitional cell carcinoma is:
A. Ureter
B. Anterior wall of bladder
C. Renal pelvis
D. Ttrigone and lateral wall of bladder
E. Dome of bladder
【参考答案】 D
